Nombre de pieces;Nombre de chambres;Superficie salon (m²);Balcon;Ascenseur;Parking;Cave;Accessible_mobilité_réduite;Interphone;Alarme;Digicode;Gardien;Cuisine ouverte;Sans vis à vis;Calme;Exposition;DPE;GES;prix;superficie;arrondissement;charges_annuelles;Etage;Total_etages
3.0;2;34.0;0;1;1;1;0;1;0;0;1;0;1;1;5.0;3.0;1.0;850000;88.0;75012;0;4.0;5.0
3.0;2;26.0;1;1;1;1;0;1;0;1;1;1;0;1;1.0;4.0;4.0;1090000;80.0;75016;3500;4.0;9.0
3.0;2;24.0;0;1;0;1;0;1;0;0;1;0;0;1;3.0;6.0;3.0;897000;85.0;75008;0;4.0;6.0
2.0;1;-1.0;0;1;0;1;0;0;0;0;1;0;0;1;5.0;6.0;5.0;478000;47.0;75016;2468;6.0;8.0
2.0;1;14.0;0;0;0;1;0;0;0;0;0;0;0;1;3.0;5.0;3.0;427000;52.7;75017;1377;6.0;6.0
2.0;1;-1.0;0;1;0;0;0;0;0;0;0;1;0;0;3.0;5.0;2.0;475000;40.0;75005;768;5.0;5.0
1.0;1;14.5;0;0;0;1;0;0;0;0;0;0;0;0;-1.0;3.0;1.0;210000;16.0;75015;678;3.0;5.0
3.0;2;-1.0;0;0;0;1;0;0;0;0;0;0;0;1;-1.0;3.0;1.0;630000;54.0;75018;0;2.0;6.0
2.0;1;24.8;0;1;1;1;0;1;0;0;1;0;1;1;3.0;4.0;2.0;830000;65.5;75007;2252;0.0;6.0
1.0;1;15.0;0;0;0;1;0;0;0;0;0;0;0;0;3.0;5.0;3.0;269000;25.7;75011;899;1.0;4.0
3.0;2;-1.0;0;1;0;1;0;0;0;0;0;0;0;1;-1.0;4.0;2.0;1200000;70.0;75004;0;3.0;-1.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;1;0;1;5.0;5.0;3.0;239500;25.0;75018;0;2.0;-1.0
9.0;6;-1.0;0;1;0;1;0;0;0;0;0;0;0;1;-1.0;4.0;4.0;2300000;192.0;75002;0;4.0;-1.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;0;0;1;-1.0;6.0;3.0;399000;36.0;75015;0;3.0;-1.0
5.0;3;-1.0;1;1;0;1;0;1;1;1;1;0;0;0;-1.0;4.0;4.0;2950000;175.0;75008;0;2.0;-1.0
3.0;2;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;2.0;1.0;1290000;88.7;75016;0;1.0;-1.0
2.0;2;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;2.0;1.0;1490000;94.0;75016;0;3.0;-1.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;0;0;1;-1.0;6.0;6.0;649000;37.0;75006;0;4.0;4.0
2.0;1;-1.0;0;0;0;1;0;0;0;0;1;0;0;0;-1.0;4.0;4.0;315000;42.0;75018;1628;1.0;6.0
6.0;4;-1.0;0;1;0;1;0;1;1;1;1;1;0;0;5.0;4.0;4.0;3100000;230.0;75017;0;0.0;-1.0
1.0;1;15.4;0;0;0;0;0;0;0;1;1;0;0;0;-1.0;5.0;3.0;165000;15.4;75016;1344;0.0;-1.0
2.0;1;-1.0;0;0;0;0;0;0;0;1;0;0;0;1;-1.0;5.0;2.0;415000;43.9;75005;980;0.0;4.0
2.0;1;-1.0;0;1;0;1;0;1;1;1;1;0;1;1;5.0;5.0;3.0;1125600;94.1;75016;0;0.0;6.0
1.0;1;25.5;0;0;0;0;0;0;0;1;0;0;0;1;-1.0;6.0;2.0;399000;25.5;75004;0;0.0;5.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;5.0;5.0;497000;49.1;75010;0;-1.0;-1.0
4.0;3;-1.0;0;0;0;0;0;0;0;0;0;1;0;0;-1.0;5.0;2.0;699000;105.0;75020;0;0.0;3.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;6.0;3.0;537000;32.0;75004;0;-1.0;-1.0
1.0;1;10.9;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;5.0;3.0;192000;10.9;75007;0;-1.0;-1.0
1.0;1;35.5;0;0;0;0;0;0;0;0;0;0;0;1;-1.0;5.0;2.0;360000;35.5;75018;0;-1.0;-1.0
3.0;2;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;5.0;3.0;690000;78.0;75013;0;-1.0;-1.0
2.0;1;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;5.0;3.0;440000;34.0;75003;0;3.0;-1.0
2.0;1;39.3;1;1;0;1;0;1;0;1;0;0;0;1;3.0;5.0;5.0;760000;69.0;75014;2280;2.0;6.0
